시장구분,,,,종목코드,,,,종목명,,,,업종명,,,,,,,,
유가증권,,,,A000020,,,,동화약품,,,,완제의약품제조업,,,,,,,,
,1996.03,1997.03,1998.03,1999.03,2000.03,2001.03,2002.03,2003.03,2004.03,2005.03,2006.03,2007.03,2008.03,2009.03,2009.12,2010.12,2011.12,2012.12,2013.12,2014.12
,(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(IFRS 별도),(IFRS 별도),(IFRS 별도),(IFRS 별도)
자산총계,"1,895","2,130","2,559","2,685","2,314","2,545","2,157","2,015","1,942","1,953","1,926","1,979","2,204","3,115","3,090","3,240","3,394","3,243","3,162","3,131"
부채총계,"1,402","1,628","1,598","1,497","1,051","1,244",811,610,478,442,369,370,413,"1,061","1,001","1,101","1,098",973,889,833
자본총계,493,502,962,"1,188","1,263","1,301","1,346","1,405","1,464","1,511","1,557","1,610","1,791","2,054","2,089","2,139","2,296","2,270","2,272","2,297"
매출액,"1,348","1,438","1,412","1,363","1,382","1,264","1,341","1,344","1,230","1,380","1,528","1,487","1,751","1,886","1,451","2,153","2,346","2,234","2,202","2,135"
영업이익,230,217,261,236,15,130,148,174,110,147,156,142,335,400,124,103,256,100,21,78
순이익,12,21,36,209,-76,41,69,87,59,74,77,81,215,285,67,54,177,13,10,49
연결순이익,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPS,409,629,414,"5,071","-1,441",755,"1,238","1,554","1,064","1,329","1,372","1,444","3,848","5,105",240,194,633,47,36,177
시장구분,,,,종목코드,,,,종목명,,,,업종명,,,,,,,,
유가증권,,,,A000040,,,,KR모터스,,,,모터사이클제조업,,,,,,,,
,1995.12,1996.12,1997.12,1998.12,1999.12,2000.12,2001.12,2002.12,2003.12,2004.12,2005.12,2006.12,2007.12,2008.12,2009.12,2010.12,2011.12,2012.12,2013.12,2014.12
,(GAAP 개별),(GAAP 연결),(GAAP 연결),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 개별),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 개별),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(IFRS 연결),(IFRS 연결),(IFRS 연결),(IFRS 연결)
자산총계,,"2,943","3,228","2,382","1,918","1,225","1,013","1,283","1,115","1,055","1,215","1,009","1,021","1,372","1,300","1,385","1,333","1,193","1,169","1,370"
부채총계,,"2,592","2,863","2,078","2,025","1,908","1,915","1,156",632,700,818,669,513,687,719,765,646,585,596,911
자본총계,,351,365,305,-107,-684,-901,128,483,355,397,341,508,685,580,620,688,608,573,459
매출액,,"2,106","2,141",848,"1,105","1,359","1,005","1,118",957,978,"1,200","1,139","1,319","1,195","1,019","1,448","1,277",979,996,808
영업이익,,199,4,-78,-70,-139,52,20,-52,-155,-24,-75,-47,-12,-65,36,30,-62,-35,-113
순이익,,-32,-433,-266,-499,-575,-218,714,26,-204,-45,-87,118,-98,-112,9,19,-82,-66,-126
연결순이익,,-1,-433,0,0,0,0,668,43,-187,-21,0,124,-92,-101,11,19,-74,-62,-126
EPS,,-28,"-4,033","-2,467","-4,629","-5,340","-20,236",0,376,-234,-21,-85,114,-83,0,10,16,-62,-52,-105
시장구분,,,,종목코드,,,,종목명,,,,업종명,,,,,,,,
유가증권,,,,A000050,,,,경방,,,,면방적업,,,,,,,,
,1995.12,1996.12,1997.12,1998.12,1999.12,2000.12,2001.12,2002.12,2003.12,2004.12,2005.12,2006.12,2007.12,2008.12,2009.12,2010.12,2011.12,2012.12,2013.12,2014.12
,(GAAP 개별),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(IFRS 연결),(IFRS 연결),(IFRS 연결),(IFRS 연결)
자산총계,,"3,086","3,357","2,932","2,836","6,484","5,936","5,593","5,495","5,297","5,210","6,155","5,707","7,877","14,815","14,317","13,523","13,350","12,970","13,018"
부채총계,,"2,727","3,068","2,709","2,467","2,737","2,516","2,012","1,996","1,895","1,799","2,962","1,853","3,802","7,671","7,002","7,226","7,143","6,606","6,542"
자본총계,,359,289,222,369,"3,747","3,420","3,581","3,499","3,402","3,411","3,193","3,854","4,075","7,144","7,315","6,297","6,207","6,364","6,477"
매출액,,"3,347","3,624","3,719","3,931","3,704","3,428","3,302","2,252","2,110","1,987","1,994","1,862","1,596","1,973","3,337","3,481","3,336","3,472","3,290"
영업이익,,12,121,203,190,68,19,1,-3,-61,44,-62,-138,-66,-163,384,222,73,360,306
순이익,,-147,-98,-53,37,-4,-43,-6,-77,-93,12,-222,656,-148,-2,188,-11,-79,146,115
연결순이익,,-126,-73,-29,36,10,-41,-7,-77,-93,12,-217,656,-148,-2,188,-11,-79,146,115
EPS,,"-8,174","-4,682","-1,802","2,264",657,"-2,626",-365,"-3,727","-4,510",566,"-10,537","31,803","-7,197",-75,"9,137",-539,"-3,834","5,865","4,190"
시장구분,,,,종목코드,,,,종목명,,,,업종명,,,,,,,,
유가증권,,,,A000070,,,,삼양홀딩스,,,,비금융지주회사,,,,,,,,
,1996.06,1997.06,1998.06,1999.06,2000.06,2001.06,2002.06,2002.12,2003.12,2004.12,2005.12,2006.12,2007.12,2008.12,2009.12,2010.12,2011.12,2012.12,2013.12,2014.12
,(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(GAAP 연결),(IFRS 연결),(IFRS 연결),(IFRS 연결),(IFRS 연결)
자산총계,"10,150","10,253","13,975","11,557","11,916","9,950","9,367","9,158","9,626","9,932","11,160","12,009","11,954","11,653","17,457","19,527","18,845","27,484","25,951","27,959"
부채총계,"7,910","8,458","9,790","7,559","7,336","4,290","3,545","3,083","3,107","2,931","3,368","3,799","3,799","4,315","6,846","7,683","5,868","10,854","9,369","11,416"
자본총계,"2,239","1,795","4,185","3,998","4,580","5,660","5,822","6,075","6,520","7,000","7,792","8,210","8,154","7,339","10,611","11,844","12,977","16,630","16,582","16,544"
